seed,epoch,train_standardized_mse,validation_standardized_mse,validation_h_standardized_mse,validation_n_standardized_mse,improved,best_epoch_so_far,best_validation_standardized_mse_so_far,epochs_without_improvement,training_source
20250830,1,0.9494501333377057,0.8318154811859131,0.8307915925979614,0.8328394293785095,True,1,0.8318154811859131,0,trained_in_this_run
20250830,2,0.80761804296989,0.7219830751419067,0.7900946140289307,0.6538715958595276,True,2,0.7219830751419067,0,trained_in_this_run
20250830,3,0.72923777174002,0.7061713337898254,0.773516833782196,0.6388258337974548,True,3,0.7061713337898254,0,trained_in_this_run
20250830,4,0.7064169017839963,0.6926078796386719,0.7667852640151978,0.618430495262146,True,4,0.6926078796386719,0,trained_in_this_run
20250830,5,0.6852784743924397,0.6912910342216492,0.7541661858558655,0.6284158825874329,True,5,0.6912910342216492,0,trained_in_this_run
20250830,6,0.6764902680958643,0.6929404139518738,0.7585077285766602,0.6273730397224426,False,5,0.6912910342216492,1,trained_in_this_run
20250830,7,0.6631840051419918,0.6978549957275391,0.7650274634361267,0.6306824088096619,False,5,0.6912910342216492,2,trained_in_this_run
20250830,8,0.6532878293365404,0.687677800655365,0.7552074193954468,0.6201481819152832,True,8,0.687677800655365,0,trained_in_this_run
20250830,9,0.6384092970019705,0.6832540035247803,0.7483391165733337,0.6181688904762268,True,9,0.6832540035247803,0,trained_in_this_run
20250830,10,0.6325467221554119,0.6936561465263367,0.759638786315918,0.6276735663414001,False,9,0.6832540035247803,1,trained_in_this_run
20250830,11,0.6177491530907366,0.6886171102523804,0.7590458989143372,0.6181883215904236,False,9,0.6832540035247803,2,trained_in_this_run
20250830,12,0.6112250702642431,0.702933132648468,0.770092785358429,0.6357733607292175,False,9,0.6832540035247803,3,trained_in_this_run
20250830,13,0.6020844266693386,0.6887897849082947,0.7532067894935608,0.6243727803230286,False,9,0.6832540035247803,4,trained_in_this_run
20250830,14,0.597378347814331,0.6956405639648438,0.7628791928291321,0.6284021139144897,False,9,0.6832540035247803,5,trained_in_this_run
20250830,15,0.5815790441217428,0.6995923519134521,0.7685415744781494,0.6306430101394653,False,9,0.6832540035247803,6,trained_in_this_run
20250830,16,0.5727549162974438,0.7151249051094055,0.7875056266784668,0.6427441835403442,False,9,0.6832540035247803,7,trained_in_this_run
20250830,17,0.5603193711584229,0.7176253199577332,0.7887536883354187,0.6464969515800476,False,9,0.6832540035247803,8,trained_in_this_run
20250830,18,0.5527763272628359,0.7233738303184509,0.8005450963973999,0.646202564239502,False,9,0.6832540035247803,9,trained_in_this_run
20250830,19,0.5455437299516501,0.7240132093429565,0.8057475090026855,0.6422789096832275,False,9,0.6832540035247803,10,trained_in_this_run
20250830,20,0.5378777926384104,0.7269341945648193,0.8016102313995361,0.6522582769393921,False,9,0.6832540035247803,11,trained_in_this_run
20250830,21,0.5310328512090268,0.7243885397911072,0.7993065118789673,0.6494705677032471,False,9,0.6832540035247803,12,trained_in_this_run
20250830,22,0.5126204358823641,0.7365235686302185,0.8293487429618835,0.6436982750892639,False,9,0.6832540035247803,13,trained_in_this_run
20250830,23,0.5162425234098512,0.7354462146759033,0.8205663561820984,0.6503259539604187,False,9,0.6832540035247803,14,trained_in_this_run
20250830,24,0.5036718552449212,0.7381053566932678,0.8253448009490967,0.6508659720420837,False,9,0.6832540035247803,15,trained_in_this_run
20250830,25,0.49824043999847506,0.7456068396568298,0.8283210396766663,0.6628925204277039,False,9,0.6832540035247803,16,trained_in_this_run
20250830,26,0.4899944429704478,0.7561288475990295,0.8490197658538818,0.6632380485534668,False,9,0.6832540035247803,17,trained_in_this_run
20250830,27,0.4770737004105628,0.7665172219276428,0.8683051466941833,0.6647293567657471,False,9,0.6832540035247803,18,trained_in_this_run
20250830,28,0.47340439424307795,0.7638315558433533,0.8626035451889038,0.6650595664978027,False,9,0.6832540035247803,19,trained_in_this_run
20250830,29,0.47371273619768206,0.7762598395347595,0.8753605484962463,0.6771592497825623,False,9,0.6832540035247803,20,trained_in_this_run
20250831,1,0.962779736372153,0.8591006994247437,0.8254448175430298,0.8927566409111023,True,1,0.8591006994247437,0,trained_in_this_run
20250831,2,0.819104415732415,0.7271629571914673,0.7897008061408997,0.6646251678466797,True,2,0.7271629571914673,0,trained_in_this_run
20250831,3,0.7332039238132615,0.7036526799201965,0.7684016823768616,0.6389036178588867,True,3,0.7036526799201965,0,trained_in_this_run
20250831,4,0.7040924102875826,0.6931827068328857,0.7545877695083618,0.6317775249481201,True,4,0.6931827068328857,0,trained_in_this_run
20250831,5,0.6895941022369046,0.6776374578475952,0.7343974113464355,0.6208775639533997,True,5,0.6776374578475952,0,trained_in_this_run
20250831,6,0.6742846263678205,0.6746523380279541,0.7260258793830872,0.623278796672821,True,6,0.6746523380279541,0,trained_in_this_run
20250831,7,0.656068303889172,0.6769505739212036,0.7294462323188782,0.6244547963142395,False,6,0.6746523380279541,1,trained_in_this_run
20250831,8,0.6467525677991829,0.6724389791488647,0.7245223522186279,0.6203556060791016,True,8,0.6724389791488647,0,trained_in_this_run
20250831,9,0.6375978400321445,0.674668550491333,0.7285542488098145,0.620782732963562,False,8,0.6724389791488647,1,trained_in_this_run
20250831,10,0.6334006192679019,0.6816140413284302,0.7338842153549194,0.6293438076972961,False,8,0.6724389791488647,2,trained_in_this_run
20250831,11,0.6182323083016354,0.6848865747451782,0.7475386261940002,0.622234582901001,False,8,0.6724389791488647,3,trained_in_this_run
20250831,12,0.6055837150482851,0.6938309073448181,0.75052410364151,0.6371375918388367,False,8,0.6724389791488647,4,trained_in_this_run
20250831,13,0.5986377538172394,0.6906461119651794,0.7607076168060303,0.6205846071243286,False,8,0.6724389791488647,5,trained_in_this_run
20250831,14,0.590066569429972,0.7003251910209656,0.7497016787528992,0.6509487628936768,False,8,0.6724389791488647,6,trained_in_this_run
20250831,15,0.576181119444484,0.7018480896949768,0.7552034258842468,0.648492693901062,False,8,0.6724389791488647,7,trained_in_this_run
20250831,16,0.5711158031674246,0.7058423757553101,0.7591429352760315,0.6525418758392334,False,8,0.6724389791488647,8,trained_in_this_run
20250831,17,0.5551656378736992,0.7086483836174011,0.7651644945144653,0.6521322727203369,False,8,0.6724389791488647,9,trained_in_this_run
20250831,18,0.5456726815029248,0.7053076028823853,0.7660028338432312,0.6446123123168945,False,8,0.6724389791488647,10,trained_in_this_run
20250831,19,0.5411875629988087,0.7194287776947021,0.7735612988471985,0.6652963757514954,False,8,0.6724389791488647,11,trained_in_this_run
20250831,20,0.5358461287797598,0.7034647464752197,0.760362446308136,0.646567165851593,False,8,0.6724389791488647,12,trained_in_this_run
20250831,21,0.5222575988663268,0.7172861099243164,0.7776623964309692,0.6569099426269531,False,8,0.6724389791488647,13,trained_in_this_run
20250831,22,0.5203135701070782,0.7314090132713318,0.7912413477897644,0.671576738357544,False,8,0.6724389791488647,14,trained_in_this_run
20250831,23,0.5125523220079227,0.7225717306137085,0.7817524075508118,0.6633909344673157,False,8,0.6724389791488647,15,trained_in_this_run
20250831,24,0.4966528292961571,0.7352831363677979,0.8128608465194702,0.6577053070068359,False,8,0.6724389791488647,16,trained_in_this_run
20250831,25,0.488113596814852,0.7432374954223633,0.8187354803085327,0.6677394509315491,False,8,0.6724389791488647,17,trained_in_this_run
20250831,26,0.4867034839965253,0.7553245425224304,0.8184767365455627,0.6921722888946533,False,8,0.6724389791488647,18,trained_in_this_run
